student_id,age,gender,years_in_program,cumulative_gpa,backlogs_count,attendance_percentage,consecutive_absences_max,daily_study_hours,class_participation_score,extracurricular_involvement_score,peer_collaboration_score,ct1_marks_25,ct2_marks_25,assignment_marks_15,mid_sem_marks_35,risk_category
1,17,Female,1,8.69,0,72.1,3,2.9,8.34,4.02,6.23,24.0,23.9,14.4,26.5,Good-Performance
2,21,Female,3,8.56,0,83.1,0,3.46,6.07,9.12,4.01,15.1,12.5,10.5,22.1,Moderate-Risk
3,20,Male,4,5.96,5,62.9,4,1.77,4.84,3.19,4.94,12.2,13.8,8.4,15.4,High-Risk
4,19,Male,2,3.85,3,57.5,3,1.4,5.78,6.23,6.84,14.2,9.3,2.0,15.5,High-Risk
5,19,Female,4,6.65,0,74.4,1,2.1,3.46,4.55,7.74,18.7,15.1,10.2,26.1,Moderate-Risk
6,22,Male,3,5.85,1,77.8,0,2.59,7.78,2.73,6.62,16.3,18.9,9.3,11.4,Moderate-Risk
7,17,Female,2,4.94,3,57.9,6,0.08,7.09,6.58,5.67,12.2,11.0,9.6,12.4,High-Risk
8,21,Male,3,7.35,0,64.2,3,2.76,8.36,3.99,7.62,19.3,17.1,9.9,20.6,Moderate-Risk
9,18,Male,1,5.37,1,77.4,0,3.03,5.11,4.11,7.79,13.4,15.1,4.7,15.6,High-Risk
10,17,Female,1,6.48,1,77.6,1,2.6,7.1,7.17,8.1,18.6,16.2,10.2,28.8,Moderate-Risk
11,20,Male,3,7.81,1,73.6,1,3.25,5.81,4.48,6.93,17.3,14.7,10.4,19.9,Moderate-Risk
12,22,Male,4,5.31,2,66.4,1,0.23,3.4,5.45,4.55,13.9,8.1,10.1,20.4,Moderate-Risk
13,21,Female,2,7.32,2,75.3,4,1.15,6.77,4.94,6.27,21.1,18.6,10.3,21.2,Moderate-Risk
14,21,Female,1,6.57,3,74.2,2,2.4,3.74,4.81,6.11,15.4,15.4,8.0,25.1,Moderate-Risk
15,21,Female,1,5.61,2,73.6,2,3.1,6.85,2.36,2.69,19.7,18.8,8.8,17.8,Moderate-Risk
16,21,Male,2,5.53,1,73.8,3,1.86,7.12,6.72,6.47,12.9,15.8,13.1,16.7,Moderate-Risk
17,20,Male,3,9.64,0,89.1,1,5.34,9.29,5.44,9.44,19.9,18.7,12.9,27.5,Moderate-Risk
18,17,Female,1,7.12,1,78.8,1,0.98,6.97,6.63,5.43,10.0,14.5,8.5,26.7,High-Risk
19,22,Male,1,7.48,0,98.9,0,2.99,7.17,5.23,3.71,17.0,22.0,13.7,30.1,Good-Performance
20,19,Male,3,8.74,0,90.7,1,4.05,7.51,7.11,5.5,20.2,25.0,11.1,27.4,Good-Performance
21,20,Male,1,3.64,1,67.2,0,2.33,5.76,5.3,5.1,15.4,12.6,7.1,20.1,High-Risk
22,19,Male,2,2.56,4,43.0,7,0.0,5.73,7.74,7.8,5.5,10.8,3.4,7.8,High-Risk
23,18,Female,3,8.46,0,88.2,1,2.38,9.48,3.19,10.0,15.6,18.9,8.7,32.5,Good-Performance
24,22,Female,1,5.65,1,68.3,1,2.78,5.72,3.42,6.38,16.2,12.9,10.6,24.0,High-Risk
25,21,Female,2,4.42,3,89.4,0,1.93,7.64,8.57,5.25,8.5,11.8,7.1,19.3,High-Risk
26,20,Male,1,4.88,2,94.1,0,1.72,5.7,6.65,4.32,9.2,13.6,8.9,21.0,High-Risk
27,19,Male,2,5.88,2,73.0,2,2.62,6.6,8.73,7.87,12.3,14.9,8.1,18.5,High-Risk
28,21,Male,4,7.83,0,73.3,0,3.42,6.45,6.23,7.38,20.9,23.4,12.3,27.5,Good-Performance
29,20,Male,3,6.93,1,83.2,0,2.5,6.96,4.44,8.15,13.8,22.7,13.0,25.4,Moderate-Risk
30,19,Male,1,8.61,0,100.0,0,3.37,6.54,8.73,5.51,20.3,19.3,11.4,31.4,Good-Performance
31,19,Male,1,7.84,2,68.8,5,2.16,4.23,1.36,8.29,19.4,12.5,9.4,22.1,Moderate-Risk
32,18,Male,2,6.27,0,88.2,1,1.42,4.59,6.6,6.18,16.5,13.1,7.0,12.7,High-Risk
33,17,Female,4,6.14,1,58.3,1,1.71,6.39,0.0,5.21,20.1,13.6,8.3,23.0,High-Risk
34,20,Female,3,5.92,1,69.7,2,2.98,4.76,8.01,2.87,17.9,18.3,7.4,21.9,Moderate-Risk
35,22,Male,3,7.13,0,82.3,1,1.47,6.45,2.94,5.52,22.6,12.2,13.1,28.4,Moderate-Risk
36,17,Male,1,7.83,0,94.4,0,4.15,8.77,4.39,5.96,21.6,23.0,10.7,21.5,Moderate-Risk
37,22,Female,4,6.64,2,74.5,1,2.31,7.76,3.07,4.95,14.1,12.5,7.7,22.8,High-Risk
38,21,Female,4,7.09,1,80.0,0,1.68,5.04,6.18,6.68,13.1,17.2,9.4,21.9,Moderate-Risk
39,18,Female,1,7.02,0,93.2,0,4.42,3.55,4.63,4.67,18.6,17.7,11.9,23.6,Moderate-Risk
40,20,Male,2,5.45,4,83.9,0,2.23,5.08,7.76,4.59,10.7,12.8,8.6,26.5,Moderate-Risk
41,17,Female,2,3.47,0,61.0,4,0.39,5.45,3.68,4.71,11.5,16.6,9.1,14.3,High-Risk
42,21,Male,3,5.77,4,66.8,2,3.27,6.53,2.64,4.18,13.5,12.5,7.7,24.8,High-Risk
43,21,Male,2,6.08,4,86.0,3,3.53,4.67,4.06,5.08,19.5,12.6,8.1,30.3,Moderate-Risk
44,19,Male,1,9.19,0,84.0,2,2.21,4.27,8.28,5.04,15.3,19.4,10.5,19.8,Moderate-Risk
45,17,Male,3,8.12,1,90.7,1,3.22,6.11,7.09,5.86,21.2,22.6,11.6,24.1,Good-Performance
46,22,Male,3,5.41,4,60.6,0,1.0,4.23,7.31,6.42,8.5,11.0,8.5,15.7,High-Risk
47,19,Male,2,6.02,6,74.2,3,0.32,9.0,3.9,9.1,16.9,14.7,9.7,18.8,Moderate-Risk
48,22,Female,2,4.8,4,66.1,3,2.51,5.93,2.36,7.7,19.8,18.0,8.2,25.1,Moderate-Risk
49,21,Male,1,7.62,1,86.5,0,3.9,8.05,7.84,4.26,16.1,18.1,8.7,30.5,Moderate-Risk
50,21,Male,2,5.91,2,75.1,0,2.67,7.59,2.24,7.86,15.2,14.0,9.8,18.8,Moderate-Risk
51,21,Male,4,6.15,2,74.7,1,2.19,5.31,5.01,7.69,23.1,17.3,6.8,17.6,Moderate-Risk
52,18,Male,3,5.15,6,74.2,0,2.22,5.53,3.67,7.24,9.8,11.7,7.1,15.7,High-Risk
